city,n_stations,n_total,r2_no_imd,r2_imd,delta_r2,mae_no_imd,mae_imd
chicago_divvy,1345,2348822,0.06202717447304007,0.41130152045746726,0.3492743459844272,1.215304009412281,1.0011267200982403
boston_bluebikes,497,2901955,0.06906153422910344,0.556992338465895,0.4879308042367916,1.8421087732388608,1.3592360488183661
sf_baywheels,560,2581278,0.004128602383530522,0.3099493445391035,0.305820742155573,1.5390346416768494,1.2622765236698
